Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close
06/03/2019,"1,246",617,2.02,"11,024.85","11,062.30","10,998.85","11,053.00"
07/03/2019,871,940,0.93,"11,077.95","11,089.05","11,027.10","11,058.20"
08/03/2019,800,"1,006",0.8,"11,038.85","11,049.00","11,008.95","11,035.40"
11/03/2019,"1,312",524,2.5,"11,068.75","11,180.90","11,059.85","11,168.05"
12/03/2019,"1,193",645,1.85,"11,231.35","11,320.40","11,227.00","11,301.20"
13/03/2019,657,"1,184",0.55,"11,326.20","11,352.30","11,276.60","11,341.70"
14/03/2019,775,"1,056",0.73,"11,382.50","11,383.45","11,313.75","11,343.25"
15/03/2019,770,"1,069",0.72,"11,376.85","11,487.00","11,370.80","11,426.85"
18/03/2019,777,"1,073",0.72,"11,473.85","11,530.15","11,412.50","11,462.20"
19/03/2019,963,882,1.09,"11,500.30","11,543.85","11,451.25","11,532.40"
20/03/2019,691,"1,160",0.6,"11,553.35","11,556.10","11,503.10","11,521.05"
22/03/2019,644,"1,192",0.54,"11,549.20","11,572.80","11,434.55","11,456.90"
25/03/2019,468,"1,403",0.33,"11,395.65","11,395.65","11,311.60","11,354.25"
26/03/2019,"1,039",809,1.28,"11,375.20","11,496.75","11,352.45","11,483.25"
27/03/2019,857,988,0.87,"11,531.45","11,546.20","11,413.00","11,445.05"
28/03/2019,"1,174",642,1.83,"11,463.65","11,588.50","11,452.45","11,570.00"
29/03/2019,"1,042",792,1.32,"11,625.45","11,630.35","11,570.15","11,623.90"
01/04/2019,"1,303",557,2.34,"11,665.20","11,738.10","11,644.75","11,669.15"
02/04/2019,835,948,0.88,"11,711.55","11,729.35","11,655.85","11,713.20"
03/04/2019,620,"1,219",0.51,"11,735.30","11,761.00","11,629.15","11,643.95"
04/04/2019,696,"1,109",0.63,"11,660.20","11,662.55","11,559.20","11,598.00"
05/04/2019,"1,148",641,1.79,"11,638.40","11,689.65","11,609.50","11,665.95"
08/04/2019,700,"1,110",0.63,"11,704.35","11,710.30","11,549.10","11,604.50"
09/04/2019,800,995,0.8,"11,612.05","11,683.90","11,569.70","11,671.95"
10/04/2019,771,"1,013",0.76,"11,646.85","11,680.05","11,571.75","11,584.30"
11/04/2019,811,976,0.83,"11,592.55","11,606.70","11,550.55","11,596.70"
12/04/2019,982,804,1.22,"11,612.85","11,657.35","11,578.80","11,643.45"
15/04/2019,"1,033",767,1.35,"11,667.00","11,704.60","11,648.25","11,690.35"
16/04/2019,896,891,1.01,"11,736.20","11,810.95","11,731.55","11,787.15"
